Mosque Name (English/French),Mosque Name (Arabic),Google Maps URL
Great Mosque of Tlemcen,الجامع الكبير بتلمسان,https://www.google.com/maps/search/?api=1&query=Great+Mosque+of+Tlemcen
Sidi Boumediene Mosque,مسجد سيدي بومدين,https://www.google.com/maps/search/?api=1&query=Sidi+Boumediene+Mosque
Sidi El Haloui Mosque,مسجد سيدي الحلوي,https://www.google.com/maps/search/?api=1&query=Sidi+El+Haloui+Mosque
El Mechouar Mosque,مسجد المشور,https://www.google.com/maps/search/?api=1&query=El+Mechouar+Mosque
Sidi Belahcen Mosque,مسجد سيدي بلحسن,https://www.google.com/maps/search/?api=1&query=Sidi+Belahcen+Mosque
Mansourah Mosque,مسجد المنصورة,https://www.google.com/maps/search/?api=1&query=Mansourah+Mosque
Agadir Mosque,مسجد أغادير,https://www.google.com/maps/search/?api=1&query=Agadir+Mosque+Tlemcen
Oulad El Imam Mosque,مسجد أولاد الإمام,https://www.google.com/maps/search/?api=1&query=Oulad+El+Imam+Mosque
Lalla Ruya Mosque,مسجد لالة روية,https://www.google.com/maps/search/?api=1&query=Lalla+Ruya+Mosque
Lalla Ghriba Mosque,مسجد لالة غريبة,https://www.google.com/maps/search/?api=1&query=Lalla+Ghriba+Mosque
Sidi Brahim al-Masmudi Mosque,مسجد سيدي إبراهيم المصمودي,https://www.google.com/maps/search/?api=1&query=Sidi+Ibrahim+Al-Masmoudi+Mosque
Al-Imam Al-Ghazali Mosque,مسجد الإمام الغزالي,https://www.google.com/maps/search/?api=1&query=Al-Imam+Al-Ghazali+Mosque+Tlemcen
Abu Bakr Al-Siddiq Mosque,مسجد أبي بكر الصديق,https://www.google.com/maps/search/?api=1&query=Abu+Bakr+Al-Siddiq+Mosque+Tlemcen
Omar Ibn Al-Khattab Mosque,مسجد عمر بن الخطاب,https://www.google.com/maps/search/?api=1&query=Omar+Ibn+Al-Khattab+Mosque+Tlemcen
Othman Ibn Affan Mosque,مسجد عثمان بن عفان,https://www.google.com/maps/search/?api=1&query=Othman+Ibn+Affan+Mosque+Tlemcen
Ali Ibn Abi Talib Mosque,مسجد علي بن أبي طالب,https://www.google.com/maps/search/?api=1&query=Ali+Ibn+Abi+Talib+Mosque+Tlemcen
Al-Rahma Mosque,مسجد الرحمة,https://www.google.com/maps/search/?api=1&query=Al-Rahma+Mosque+Tlemcen
Al-Fath Mosque,مسجد الفتح,https://www.google.com/maps/search/?api=1&query=Al-Fath+Mosque+Tlemcen
Ibn Badis Mosque,مسجد ابن باديس,https://www.google.com/maps/search/?api=1&query=Ibn+Badis+Mosque+Tlemcen
Al-Kawthar Mosque,مسجد الكوثر,https://www.google.com/maps/search/?api=1&query=Al-Kawthar+Mosque+Tlemcen
Sidi Senouci Mosque,مسجد سيدي السنوسي,https://www.google.com/maps/search/?api=1&query=Sidi+Senouci+Mosque
Sidi Wahab Mosque,مسجد سيدي الوهاب,https://www.google.com/maps/search/?api=1&query=Sidi+Wahab+Mosque
Ibn Marzouk al-Kafif Mosque,مسجد ابن مرزوق الكفيف,https://www.google.com/maps/search/?api=1&query=Ibn+Marzouk+al-Kafif+Mosque
Sidi Daoudi Mosque,مسجد سيدي الداودي,https://www.google.com/maps/search/?api=1&query=Sidi+Daoudi+Mosque
Sidi El Benna Mosque,مسجد سيدي البنا,https://www.google.com/maps/search/?api=1&query=Sidi+El+Benna+Mosque
Bab Zir Mosque,مسجد باب زير,https://www.google.com/maps/search/?api=1&query=Bab+Zir+Mosque
Al-Sharif Al-Tilimsani Mosque,مسجد الشريف التلمساني,https://www.google.com/maps/search/?api=1&query=Al-Sharif+Al-Tilimsani+Mosque
Cheikh Sahnoun Mosque,مسجد الشيخ سحنون,https://www.google.com/maps/search/?api=1&query=Cheikh+Sahnoun+Mosque
Al-Mouahidine Mosque,مسجد الموحدين,https://www.google.com/maps/search/?api=1&query=Al-Mouahidine+Mosque+Tlemcen
Khalid Ibn Al-Walid Mosque,مسجد خالد بن الوليد,https://www.google.com/maps/search/?api=1&query=Khalid+Ibn+Al-Walid+Mosque+Tlemcen
Al-Ansar Mosque,مسجد الأنصار,https://www.google.com/maps/search/?api=1&query=Al-Ansar+Mosque+Tlemcen